23rd February 2020,	Half marathon,	Wokingham Half Marathon,	Wokingham,	Entries closed	
14th March 2020,	5 km,		Newbury Parkrun March,		Newbury,	
10th April 2020,	10 miles,	Maidenhead 10,			Maidenhead,	TBC - Berkshire county road race event
21st June 2020,		8 miles,	Hungerford Harey 8,		Hungerford,	TBC - Run West Berks Series Event
5th July 2020,		10 km,		Inkpen Gibbet Challenge,	Inkpen,		Run West Berks Series Event	
25th July 2020,		5 km,		Newbury Parkrun July,		Newbury,	
9th August 2020,	10 km,		Burnham Beeches 10k,		Farnham Common,	Provisional date	
30th August 2020,	5 miles,	Headington 5,			Oxford,		Provisional date	
6th September 2020,	Half marathon,	Maidenhead Half Marathon,	Maidenhead,	Berkshire county road race event
12th September 2020,	5 km,		Woodley Parkrun,		Woodley,	
4th October 2020,	10 km,		Cricklade 10 km,		Cricklade,	Provisional date	
11th October 2020,	10 miles,	Tadley 10,			Tadley,		Provisional date	
18th October 2020,	10 km,		Fleet 10 km,			Fleet,		
7th November 2020,	5 km,		Newbury Parkrun November,	Newbury,	
22nd November 2020,	5 mile,		Sutton Benger Flyer 5,		Sutton Benger,	
1st November 2020,      Half marathon,  Reading Half Marathon,          Reading,	re-arranged
